Town_Point,Date_Creat,Date_Retir,Town_Pid,Xcoord,Ycoord,Wkt_Geom,Town_Class,Town_Name,Population,State_Pid,Qld_Town_Point_Shp_Town_Point,Qld_Town_Point_Shp_Date_Creat
TWP31115,31/07/2013,,TWN31115,152.8871,-26.84242,NULL,1,Peachester,454,3,TWP31115,7/31/2013
TWP31116,31/07/2013,,TWN31116,152.9616,-26.76553,NULL,1,Mooloolah,2846,3,TWP31116,7/31/2013
TWP31117,31/07/2013,,TWN31117,152.8651,-26.62074,NULL,1,Mapleton,845,3,TWP31117,7/31/2013
TWP31118,31/07/2013,,TWN31118,152.9592,-26.62753,NULL,0,Nambour,16250,3,TWP31118,7/31/2013
TWP31119,31/07/2013,,TWN31119,152.8643,-27.04069,NULL,0,Wamuran,2850,3,TWP31119,7/31/2013
TWP31120,31/07/2013,,TWN31120,152.0506,-27.26153,NULL,1,Crows Nest,1596,3,TWP31120,7/31/2013
TWP31121,31/07/2013,,TWN31121,145.7649,-16.92311,NULL,2,Cairns,133893,3,TWP31121,7/31/2013
TWP31122,31/07/2013,,TWN31122,153.4038,-27.49776,NULL,2,Dunwich,883,3,TWP31122,7/31/2013
TWP31123,31/07/2013,,TWN31123,152.9565,-26.56212,NULL,1,Yandina,1755,3,TWP31123,7/31/2013
TWP31124,31/07/2013,,TWN31124,145.2488,-15.47177,NULL,3,Cooktown,1617,3,TWP31124,7/31/2013
TWP31125,31/07/2013,,TWN31125,141.8777,-12.62496,NULL,4,Weipa,3334,3,TWP31125,7/31/2013
TWP31126,31/07/2013,,TWN31126,142.3863,-10.87403,NULL,4,New Mapoon,274,3,TWP31126,7/31/2013
TWP31127,31/07/2013,,TWN31127,150.075,-24.94678,NULL,2,Theodore,452,3,TWP31127,7/31/2013
TWP31128,31/07/2013,,TWN31128,152.584,-25.725,NULL,1,Tiaro,465,3,TWP31128,7/31/2013
TWP31129,31/07/2013,,TWN31129,146.8597,-19.11815,NULL,2,Horseshoe Bay,538,3,TWP31129,7/31/2013
TWP31130,31/07/2013,,TWN31130,147.4184,-19.53428,NULL,2,Kalamia Estate,300,3,TWP31130,7/31/2013
TWP31131,31/07/2013,,TWN31131,153.0249,-27.47072,NULL,0,Brisbane,1874427,3,TWP31131,7/31/2013
TWP31132,31/07/2013,,TWN31132,149.3315,-23.64629,NULL,3,Dingo,342,3,TWP31132,7/31/2013
TWP31133,31/07/2013,,TWN31133,138.824,-17.94141,NULL,4,Doomadgee,1258,3,TWP31133,7/31/2013
TWP31134,31/07/2013,,TWN31134,146.4083,-19.01722,NULL,2,Balgal Beach,377,3,TWP31134,7/31/2013
TWP31135,31/07/2013,,TWN31135,145.4067,-16.44813,NULL,2,Cooya Beach,544,3,TWP31135,7/31/2013
TWP31136,31/07/2013,,TWN31136,149.4575,-24.1306,NULL,3,Woorabinda,936,3,TWP31136,7/31/2013
TWP31137,31/07/2013,,TWN31137,148.5382,-28.6787,NULL,4,Johnstone,711,3,TWP31137,7/31/2013
TWP31138,31/07/2013,,TWN31138,151.9059,-27.78299,NULL,1,Greenmount,405,3,TWP31138,7/31/2013
TWP31139,31/07/2013,,TWN31139,142.3349,-10.18488,NULL,4,St Pauls,258,3,TWP31139,7/31/2013
TWP31140,31/07/2013,,TWN31140,145.865,-16.90636,NULL,2,Yarrabah,2409,3,TWP31140,7/31/2013
TWP31141,31/07/2013,,TWN31141,153.44,-27.39664,NULL,3,Amity Point,348,3,TWP31141,7/31/2013
TWP31142,31/07/2013,,TWN31142,153.1058,-26.41021,NULL,0,Sunshine Beach,3448,3,TWP31142,7/31/2013
TWP31143,31/07/2013,,TWN31143,141.7292,-13.35609,NULL,4,Aurukun,1288,3,TWP31143,7/31/2013
TWP31144,31/07/2013,,TWN31144,152.3753,-27.08821,NULL,1,Toogoolawah,961,3,TWP31144,7/31/2013
TWP31145,31/07/2013,,TWN31145,152.4179,-27.23674,NULL,1,Esk,1250,3,TWP31145,7/31/2013
TWP31146,31/07/2013,,TWN31146,152.5763,-27.46078,NULL,1,Lowood,3145,3,TWP31146,7/31/2013
TWP31147,31/07/2013,,TWN31147,152.7701,-27.33397,NULL,1,Mount Glorious,279,3,TWP31147,7/31/2013
TWP31148,31/07/2013,,TWN31148,152.5954,-27.56895,NULL,1,Marburg,567,3,TWP31148,7/31/2013
TWP31149,31/07/2013,,TWN31149,152.5889,-27.63446,NULL,1,Rosewood,2155,3,TWP31149,7/31/2013
TWP3115,31/07/2013,,TWN3115,141.8976,-12.02178,NULL,4,Mapoon,263,3,TWP3115,7/31/2013
TWP31150,31/07/2013,,TWN31150,152.8849,-27.37146,NULL,0,Samford,752,3,TWP31150,7/31/2013
TWP31151,31/07/2013,,TWN31151,153.0991,-27.03348,NULL,1,Toorbul,645,3,TWP31151,7/31/2013
TWP31152,31/07/2013,,TWN31152,153.0662,-27.00662,NULL,1,Donnybrook,461,3,TWP31152,7/31/2013
TWP31153,31/07/2013,,TWN31153,153.1626,-27.08546,NULL,1,Bongaree,6524,3,TWP31153,7/31/2013
