"town_name","acute_time","acute_care_transit_location","acute_care_centre"
"Kureelpa",128,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Yuleba",398,"Roma Hospital","Brisbane (PAH/RBWH)"
"Quilpie",363,"Quilpie Hospital","Brisbane (PAH/RBWH)"
"Mapleton",131,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Nambour",153,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Kiels Mountain",151,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Flaxton",174,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Miles",305,"Miles Hospital","Brisbane (PAH/RBWH)"
"Woombye",149,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Nanango",155,"Nanango Hospital","Brisbane (PAH/RBWH)"
"Palmwoods",158,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Witta",168,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Chinchilla",309,"Chinchilla Hospital","Brisbane (PAH/RBWH)"
"Maleny",126,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Mooloolah",150,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Glenview",141,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Jandowae",309,"Jandowae Hospital","Brisbane (PAH/RBWH)"
"Landsborough",145,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)"
"Yarraman",155,"Nanango Hospital","Brisbane (PAH/RBWH)"
"Peachester",126,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Beerwah",123,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Blackbutt",156,"Nanango Hospital","Brisbane (PAH/RBWH)"
"Glass House Mountain",68,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Bell",179,"Dalby Hospital","Brisbane (PAH/RBWH)"
"Beerburrum - North",62,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Kilcoy",133,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Woodford",73,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Beerburrum",64,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"D'Aguilar",68,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Delaneys Creek",68,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Donnybrook",67,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Toorbul",70,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
