"SA2_CODE16","median_time_to_acute_care","min_time_to_acute_care","max_time_to_acute_care","median_time_to_rehab_care","min_time_to_rehab_care","max_time_to_rehab_care","iTRAQI_index"
302031036,32.2900544728928,17.3931217181891,43.8878067233913,26.0088827772166,16.8041819255078,33.3614667366963,"1A"
302031037,18.9637126092692,14.137280094162,28.8024602089712,17.1736342191515,14.8417122800806,22.8298771434215,"1A"
302031038,20.327551756828,18.1265085491673,23.4272940876278,19.7622092202935,18.4697327883024,21.7847714696674,"1A"
302031039,25.2844074198243,22.6614070069172,33.8615719615852,22.6557268210986,21.0219564316292,28.1074751451085,"1A"
302031040,15.8695819401343,13.5819936224264,18.6069913593347,17.1548960458786,15.94325869302,18.4768478685289,"1A"
302041041,29.3765034181635,27.4100001565588,32.7970813074232,25.1707780434494,23.9607489607306,27.2642066966457,"1A"
302041042,34.9108705548879,32.7343476585862,37.9657477728737,28.8252336238343,27.387972145149,30.6368407738506,"1A"
302041043,30.2751530436362,28.9519756085745,31.8558620377184,25.9903828243524,25.1353643719846,26.9800421264117,"1A"
302041044,33.2616167196745,31.6930305890607,34.2674608168036,27.9010604570645,26.7778290295187,28.5000015359858,"1A"
302041045,25.630128636362,23.6896209044399,28.4484957525646,23.0167379514023,21.8109186479262,24.7884217997664,"1A"
302041046,22.6239769803018,20.8252063073272,24.4315905773188,21.2561588352545,20.0668421439882,22.4065918702294,"1A"
303011047,18.3485292087075,15.2844777451194,20.5536740404538,14.0793126910617,12.7097222086122,14.8444278054194,"1A"
303011048,18.4502512348902,16.9242185867802,25.288049214761,15.5311060369758,14.5377431379724,17.9164083811368,"1A"
303011049,21.3403961823527,19.4724906856996,28.0999875887686,15.9467691413251,15.065190557797,18.8580613352251,"1A"
303011050,22.2149272627422,20.8738322664604,23.8903795495725,15.6245817011702,14.731092026217,16.362553288388,"1A"
303011051,27.4100782293675,24.0891220096647,30.4851041414032,17.8534951378977,16.5076659538842,19.3378251202656,"1A"
