"SA2_CODE11","seifa_decile","seifa_percentile","seifa_quintile","ra","ra_name"
303021053,9,88,5,0,"Major Cities of Australia"
303021054,6,54,3,0,"Major Cities of Australia"
303021055,8,73,4,0,"Major Cities of Australia"
303021056,7,65,4,0,"Major Cities of Australia"
303021057,9,86,5,0,"Major Cities of Australia"
303021058,5,47,3,0,"Major Cities of Australia"
303021059,9,83,5,0,"Major Cities of Australia"
303031060,8,77,4,0,"Major Cities of Australia"
303031061,6,55,3,0,"Major Cities of Australia"
303031062,7,67,4,0,"Major Cities of Australia"
303031063,7,61,4,0,"Major Cities of Australia"
303031064,10,95,5,0,"Major Cities of Australia"
303031065,5,49,3,0,"Major Cities of Australia"
303031066,9,84,5,0,"Major Cities of Australia"
303041067,4,31,2,0,"Major Cities of Australia"
303041068,6,57,3,0,"Major Cities of Australia"
303041069,5,47,3,0,"Major Cities of Australia"
303041070,6,60,3,0,"Major Cities of Australia"
303041071,10,92,5,0,"Major Cities of Australia"
303051072,7,63,4,0,"Major Cities of Australia"
303051073,9,81,5,0,"Major Cities of Australia"
303051074,9,85,5,0,"Major Cities of Australia"
303051075,9,90,5,0,"Major Cities of Australia"
303051076,1,8,1,0,"Major Cities of Australia"
303061077,8,76,4,0,"Major Cities of Australia"
303061078,6,53,3,0,"Major Cities of Australia"
303061079,5,42,3,0,"Major Cities of Australia"
303061080,6,54,3,0,"Major Cities of Australia"
304011081,10,93,5,0,"Major Cities of Australia"
304011082,9,90,5,0,"Major Cities of Australia"
304011083,9,88,5,0,"Major Cities of Australia"
304011084,10,97,5,0,"Major Cities of Australia"
304011085,10,99,5,0,"Major Cities of Australia"
304021086,10,98,5,0,"Major Cities of Australia"
304021087,10,100,5,0,"Major Cities of Australia"
304021088,10,100,5,0,"Major Cities of Australia"
304021089,10,100,5,0,"Major Cities of Australia"
304021090,10,97,5,0,"Major Cities of Australia"
304021091,10,100,5,0,"Major Cities of Australia"
304031092,10,99,5,0,"Major Cities of Australia"
304031093,8,80,4,0,"Major Cities of Australia"
304031094,9,90,5,0,"Major Cities of Australia"
304031095,10,92,5,0,"Major Cities of Australia"
304031096,8,78,4,0,"Major Cities of Australia"
304031097,10,91,5,0,"Major Cities of Australia"
304041098,7,64,4,0,"Major Cities of Australia"
304041099,NA,NA,NA,1,"Inner Regional Australia"
304041100,5,42,3,0,"Major Cities of Australia"
304041101,9,86,5,0,"Major Cities of Australia"
304041102,NA,NA,NA,0,"Major Cities of Australia"
304041103,10,98,5,0,"Major Cities of Australia"
304041104,10,94,5,0,"Major Cities of Australia"
305011105,8,80,4,0,"Major Cities of Australia"
305011106,8,74,4,0,"Major Cities of Australia"
305011107,7,63,4,0,"Major Cities of Australia"
305011108,9,81,5,0,"Major Cities of Australia"
305011109,9,82,5,0,"Major Cities of Australia"
305011110,7,68,4,0,"Major Cities of Australia"
305011111,6,56,3,0,"Major Cities of Australia"
305011112,6,58,3,0,"Major Cities of Australia"
305021113,10,95,5,0,"Major Cities of Australia"
305021114,10,95,5,0,"Major Cities of Australia"
305021115,8,79,4,0,"Major Cities of Australia"
305021116,10,97,5,0,"Major Cities of Australia"
305021117,9,82,5,0,"Major Cities of Australia"
305021118,10,98,5,0,"Major Cities of Australia"
305031119,9,82,5,0,"Major Cities of Australia"
305031120,10,91,5,0,"Major Cities of Australia"
305031121,9,90,5,0,"Major Cities of Australia"
305031122,9,88,5,0,"Major Cities of Australia"
305031123,10,96,5,0,"Major Cities of Australia"
305031124,10,92,5,0,"Major Cities of Australia"
305031125,9,89,5,0,"Major Cities of Australia"
305031126,7,63,4,0,"Major Cities of Australia"
305031127,9,85,5,0,"Major Cities of Australia"
305031128,10,95,5,0,"Major Cities of Australia"
305031129,10,96,5,0,"Major Cities of Australia"
305031130,9,81,5,0,"Major Cities of Australia"
305031131,8,79,4,0,"Major Cities of Australia"
305041132,10,97,5,0,"Major Cities of Australia"
305041133,10,97,5,0,"Major Cities of Australia"
305041134,10,99,5,0,"Major Cities of Australia"
305041135,10,95,5,0,"Major Cities of Australia"
305041136,10,91,5,0,"Major Cities of Australia"
305041137,10,93,5,0,"Major Cities of Australia"
306011138,9,89,5,2,"Outer Regional Australia"
306011139,8,74,4,2,"Outer Regional Australia"
306011140,8,71,4,2,"Outer Regional Australia"
306011141,9,85,5,2,"Outer Regional Australia"
306011142,7,62,4,2,"Outer Regional Australia"
306011143,4,33,2,2,"Outer Regional Australia"
306021144,4,39,2,2,"Outer Regional Australia"
306021145,3,25,2,2,"Outer Regional Australia"
306021146,5,47,3,2,"Outer Regional Australia"
306021147,3,26,2,2,"Outer Regional Australia"
306021148,4,35,2,2,"Outer Regional Australia"
306021149,4,39,2,2,"Outer Regional Australia"
306021150,NA,NA,NA,2,"Outer Regional Australia"
306021151,1,3,1,2,"Outer Regional Australia"
306021152,1,4,1,2,"Outer Regional Australia"
306021153,7,62,4,2,"Outer Regional Australia"
306021154,1,5,1,2,"Outer Regional Australia"
306021155,2,14,1,2,"Outer Regional Australia"
306021156,6,56,3,2,"Outer Regional Australia"
306021157,1,6,1,2,"Outer Regional Australia"
306031158,4,31,2,2,"Outer Regional Australia"
306031159,1,8,1,2,"Outer Regional Australia"
306031160,4,35,2,2,"Outer Regional Australia"
306031161,3,24,2,2,"Outer Regional Australia"
306031162,NA,NA,NA,2,"Outer Regional Australia"
306031163,1,1,1,2,"Outer Regional Australia"
306041164,3,23,2,2,"Outer Regional Australia"
306041165,6,56,3,2,"Outer Regional Australia"
306051166,3,27,2,2,"Outer Regional Australia"
306051167,1,7,1,2,"Outer Regional Australia"
306051168,3,23,2,2,"Outer Regional Australia"
306051169,4,36,2,2,"Outer Regional Australia"
