"id","town_name","x","y","centre","minutes"
1343,"Coominya",152.5023,-27.3916,"Brain Injury Rehabilitation Unit",58.81420238
1344,"Amity Point",153.44,-27.39664,"Brain Injury Rehabilitation Unit",98.73954695
1345,"Meringandan West",151.8819,-27.41789,"Brain Injury Rehabilitation Unit",105.21845738
1346,"Meringandan",151.9132,-27.42327,"Brain Injury Rehabilitation Unit",103.2118672
1347,"Point Lookout",153.5377,-27.43022,"Brain Injury Rehabilitation Unit",101.57142405
1348,"Oakey",151.7183,-27.43202,"Brain Injury Rehabilitation Unit",104.5037502
1349,"Fernvale",152.6594,-27.45012,"Brain Injury Rehabilitation Unit",43.88047248
1350,"Lowood",152.5763,-27.46078,"Brain Injury Rehabilitation Unit",49.60656927
1351,"Murphys Creek",152.0567,-27.46123,"Brain Injury Rehabilitation Unit",80.36699962
1352,"Highfields",151.9481,-27.46253,"Brain Injury Rehabilitation Unit",95.97185368
1353,"Brisbane",153.0249,-27.47072,"Brain Injury Rehabilitation Unit",8.15721476
1354,"Kingsthorpe",151.8191,-27.47543,"Brain Injury Rehabilitation Unit",98.02037522
1355,"Gowrie Junction",151.8928,-27.49125,"Brain Injury Rehabilitation Unit",92.73435423
1356,"Lockrose",152.4579,-27.49448,"Brain Injury Rehabilitation Unit",56.91201266
1357,"Dunwich",153.4038,-27.49776,"Brain Injury Rehabilitation Unit",82.96294679
1358,"Blue Mountain Heights",151.9612,-27.50364,"Brain Injury Rehabilitation Unit",90.53431145
1359,"Gowrie Mountain",151.8228,-27.51137,"Brain Injury Rehabilitation Unit",94.01662795
1360,"Brightview",152.4916,-27.51975,"Brain Injury Rehabilitation Unit",50.71590027
1361,"Cecil Plains",151.1936,-27.53233,"Brain Injury Rehabilitation Unit",138.04025191
1362,"Minden Village",152.5591,-27.5357,"Brain Injury Rehabilitation Unit",46.44948929
1363,"Kensington Grove - Regency Downs",152.4572,-27.53986,"Brain Injury Rehabilitation Unit",51.65972605
1364,"Glenore Grove",152.4122,-27.54114,"Brain Injury Rehabilitation Unit",54.25347942
1365,"Helidon",152.1254,-27.54838,"Brain Injury Rehabilitation Unit",70.45244663
1366,"Prince Henry Heights",151.9905,-27.55295,"Brain Injury Rehabilitation Unit",86.80185357
1367,"Withcott",152.026,-27.55364,"Brain Injury Rehabilitation Unit",76.63585619
