"id","town_name","x","y","rehab_centre","minutes"
1289,"Yandina",152.9565,-26.56212,"Sunshine Coast University Hospital",53.02662388
1290,"Roma",148.7879,-26.57094,"Roma Hospital",160.608427085
1291,"Wallumbilla",149.187,-26.58483,"Roma Hospital",161.013251935
1292,"Kenilworth",152.727,-26.59522,"Gympie Hospital",76.154615295
1293,"Kureelpa",152.8837,-26.60834,"Sunshine Coast University Hospital",59.78682533
1294,"Yuleba",149.381,-26.61304,"Roma Hospital",160.782874155
1295,"Quilpie",144.2683,-26.61502,"Roma Hospital",459.062441105
1296,"Mapleton",152.8651,-26.62074,"Sunshine Coast University Hospital",61.56815465
1297,"Nambour",152.9592,-26.62753,"Sunshine Coast University Hospital",50.66487677
1298,"Kiels Mountain",153.001,-26.6527,"Sunshine Coast University Hospital",47.812294865
1299,"Flaxton",152.8647,-26.65557,"Sunshine Coast University Hospital",62.43394666
1300,"Miles",150.1857,-26.65858,"Roma Hospital",160.326718555
1301,"Woombye",152.9666,-26.66148,"Sunshine Coast University Hospital",47.191062565
1302,"Nanango",151.9992,-26.6713,"Gympie Hospital",116.315173055
1303,"Palmwoods",152.9568,-26.69113,"Sunshine Coast University Hospital",51.59772381
1304,"Witta",152.8107,-26.70454,"Sunshine Coast University Hospital",62.760222595
1305,"Chinchilla",150.628,-26.74202,"Roma Hospital",160.64087285
1306,"Maleny",152.848,-26.75878,"Sunshine Coast University Hospital",54.423834845
1307,"Mooloolah",152.9616,-26.76553,"Sunshine Coast University Hospital",44.01153091
1308,"Glenview",153.0204,-26.76952,"Sunshine Coast University Hospital",39.414259375
1309,"Jandowae",151.1101,-26.78068,"Gympie Hospital",164.32020343
1310,"Landsborough",152.9652,-26.80826,"Sunshine Coast University Hospital",40.240519955
1311,"Yarraman",151.9796,-26.84046,"Gympie Hospital",115.37401775
1312,"Peachester",152.8871,-26.84242,"Sunshine Coast University Hospital",49.53127134
1313,"Beerwah",152.954,-26.85293,"Sunshine Coast University Hospital",41.172467575
1314,"Blackbutt",152.1042,-26.88722,"Sunshine Coast University Hospital",110.65915009
1315,"Glass House Mountain",152.9507,-26.89771,"Sunshine Coast University Hospital",40.755656915
1316,"Bell",151.4491,-26.93176,"Gympie Hospital",154.657185275
1317,"Beerburrum - North",152.957,-26.93545,"Sunshine Coast University Hospital",37.92331556
1318,"Kilcoy",152.5638,-26.94019,"Sunshine Coast University Hospital",69.242141145
1319,"Woodford",152.778,-26.95557,"Sunshine Coast University Hospital",54.61886777
1320,"Beerburrum",152.955,-26.96138,"Sunshine Coast University Hospital",39.54292047
1321,"D'Aguilar",152.7984,-26.98884,"Sunshine Coast University Hospital",50.912303915
1322,"Delaneys Creek",152.7971,-27.00308,"Sunshine Coast University Hospital",51.400396015
1323,"Donnybrook",153.0662,-27.00662,"Sunshine Coast University Hospital",40.98264594
1324,"Toorbul",153.0991,-27.03348,"Sunshine Coast University Hospital",44.7087974
1325,"Wamuran",152.8643,-27.04069,"Sunshine Coast University Hospital",43.36318345
1326,"Ningi",153.1051,-27.06703,"Sunshine Coast University Hospital",46.13124289
1327,"Woorim",153.2035,-27.07303,"Sunshine Coast University Hospital",59.534609065
1328,"Sandstone Point",153.1273,-27.08295,"Sunshine Coast University Hospital",49.62545242
1329,"Bongaree",153.1626,-27.08546,"Sunshine Coast University Hospital",56.31982388
1330,"Toogoolawah",152.3753,-27.08821,"Brain Injury Rehabilitation Unit",82.62366994
1331,"Beachmere",153.0514,-27.12968,"Sunshine Coast University Hospital",43.59274859
1332,"Surat",149.0666,-27.15384,"Roma Hospital",173.591572555
1333,"Dalby",151.261,-27.18328,"Brain Injury Rehabilitation Unit",137.77687653
1334,"Dayboro",152.8215,-27.19792,"Brain Injury Rehabilitation Unit",49.10065275
1335,"Esk",152.4179,-27.23674,"Brain Injury Rehabilitation Unit",69.77455894
1336,"Crows Nest",152.0506,-27.26153,"Brain Injury Rehabilitation Unit",112.27559275
1337,"Tara",150.4556,-27.27772,"Roma Hospital",173.45635389
1338,"Goombungee",151.8502,-27.30485,"Brain Injury Rehabilitation Unit",111.93125337
1339,"Mount Glorious",152.7701,-27.33397,"Brain Injury Rehabilitation Unit",48.40423478
1340,"Samford Valley - Highvale",152.8394,-27.36508,"Brain Injury Rehabilitation Unit",35.6333058
1341,"Samford",152.8849,-27.37146,"Brain Injury Rehabilitation Unit",30.56607673
1342,"Mount Nebo",152.7795,-27.39084,"Brain Injury Rehabilitation Unit",43.93633549
1343,"Coominya",152.5023,-27.3916,"Brain Injury Rehabilitation Unit",58.81420238
1344,"Amity Point",153.44,-27.39664,"Brain Injury Rehabilitation Unit",98.73954695
1345,"Meringandan West",151.8819,-27.41789,"Brain Injury Rehabilitation Unit",105.21845738
1346,"Meringandan",151.9132,-27.42327,"Brain Injury Rehabilitation Unit",103.2118672
1347,"Point Lookout",153.5377,-27.43022,"Brain Injury Rehabilitation Unit",101.57142405
1348,"Oakey",151.7183,-27.43202,"Brain Injury Rehabilitation Unit",104.5037502
1349,"Fernvale",152.6594,-27.45012,"Brain Injury Rehabilitation Unit",43.88047248
1350,"Lowood",152.5763,-27.46078,"Brain Injury Rehabilitation Unit",49.60656927
1351,"Murphys Creek",152.0567,-27.46123,"Brain Injury Rehabilitation Unit",80.36699962
1352,"Highfields",151.9481,-27.46253,"Brain Injury Rehabilitation Unit",95.97185368
1353,"Brisbane",153.0249,-27.47072,"Brain Injury Rehabilitation Unit",8.15721476
1354,"Kingsthorpe",151.8191,-27.47543,"Brain Injury Rehabilitation Unit",98.02037522
1355,"Gowrie Junction",151.8928,-27.49125,"Brain Injury Rehabilitation Unit",92.73435423
1356,"Lockrose",152.4579,-27.49448,"Brain Injury Rehabilitation Unit",56.91201266
1357,"Dunwich",153.4038,-27.49776,"Brain Injury Rehabilitation Unit",82.96294679
1358,"Blue Mountain Heights",151.9612,-27.50364,"Brain Injury Rehabilitation Unit",90.53431145
1359,"Gowrie Mountain",151.8228,-27.51137,"Brain Injury Rehabilitation Unit",94.01662795
1360,"Brightview",152.4916,-27.51975,"Brain Injury Rehabilitation Unit",50.71590027
1361,"Cecil Plains",151.1936,-27.53233,"Brain Injury Rehabilitation Unit",138.04025191
1362,"Minden Village",152.5591,-27.5357,"Brain Injury Rehabilitation Unit",46.44948929
1363,"Kensington Grove - Regency Downs",152.4572,-27.53986,"Brain Injury Rehabilitation Unit",51.65972605
1364,"Glenore Grove",152.4122,-27.54114,"Brain Injury Rehabilitation Unit",54.25347942
1365,"Helidon",152.1254,-27.54838,"Brain Injury Rehabilitation Unit",70.45244663
1366,"Prince Henry Heights",151.9905,-27.55295,"Brain Injury Rehabilitation Unit",86.80185357
1367,"Withcott",152.026,-27.55364,"Brain Injury Rehabilitation Unit",76.63585619
