"id","town_name","x","y","centre","minutes"
1281,"Sunshine Beach",153.1058,-26.41021,"Sunshine Coast University Hospital",42.03553826
1282,"Cooroy",152.9089,-26.41875,"Sunshine Coast University Hospital",35.86800197
1283,"Doonan - Tinbeerwah",153.0119,-26.43781,"Sunshine Coast University Hospital",37.09115233
1284,"Weyba Downs",153.0474,-26.45561,"Sunshine Coast University Hospital",34.35857819
1285,"Imbil",152.677,-26.46119,"Sunshine Coast University Hospital",59.75189993
1286,"Eumundi",152.9513,-26.47643,"Sunshine Coast University Hospital",32.40173603
1287,"Mitchell",147.976,-26.48827,"Princess Alexandra Hospital",374.88801161
1288,"Kingaroy",151.8443,-26.53645,"Sunshine Coast University Hospital",150.93247643
1289,"Yandina",152.9565,-26.56212,"Sunshine Coast University Hospital",26.89499601
1290,"Roma",148.7879,-26.57094,"Princess Alexandra Hospital",318.86736908
1291,"Wallumbilla",149.187,-26.58483,"Princess Alexandra Hospital",292.30060614
1292,"Kenilworth",152.727,-26.59522,"Sunshine Coast University Hospital",54.61967899
1293,"Kureelpa",152.8837,-26.60834,"Sunshine Coast University Hospital",33.6526885
1294,"Yuleba",149.381,-26.61304,"Princess Alexandra Hospital",279.33658825
1295,"Quilpie",144.2683,-26.61502,"Princess Alexandra Hospital",617.36154224
1296,"Mapleton",152.8651,-26.62074,"Sunshine Coast University Hospital",35.43026623
1297,"Nambour",152.9592,-26.62753,"Sunshine Coast University Hospital",24.53916437
1298,"Kiels Mountain",153.001,-26.6527,"Sunshine Coast University Hospital",21.69074734
1299,"Flaxton",152.8647,-26.65557,"Sunshine Coast University Hospital",36.50201304
1300,"Miles",150.1857,-26.65858,"Princess Alexandra Hospital",226.7836894
1301,"Woombye",152.9666,-26.66148,"Sunshine Coast University Hospital",21.06951504
1302,"Nanango",151.9992,-26.6713,"Sunshine Coast University Hospital",132.1996203
1303,"Palmwoods",152.9568,-26.69113,"Sunshine Coast University Hospital",25.46791226
1304,"Witta",152.8107,-26.70454,"Sunshine Coast University Hospital",39.64445882
1305,"Chinchilla",150.628,-26.74202,"Princess Alexandra Hospital",194.30463383
1306,"Maleny",152.848,-26.75878,"Sunshine Coast University Hospital",31.31055197
1307,"Mooloolah",152.9616,-26.76553,"Sunshine Coast University Hospital",18.06490601
1308,"Glenview",153.0204,-26.76952,"Sunshine Coast University Hospital",13.47485045
1309,"Jandowae",151.1101,-26.78068,"Princess Alexandra Hospital",172.48807088
1310,"Landsborough",152.9652,-26.80826,"Sunshine Coast University Hospital",16.93132065
1311,"Yarraman",151.9796,-26.84046,"Sunshine Coast University Hospital",116.73990665
1312,"Peachester",152.8871,-26.84242,"Sunshine Coast University Hospital",30.85408771
1313,"Beerwah",152.954,-26.85293,"Sunshine Coast University Hospital",21.31872741
1314,"Blackbutt",152.1042,-26.88722,"Sunshine Coast University Hospital",105.96418224
1315,"Glass House Mountain",152.9507,-26.89771,"Sunshine Coast University Hospital",25.31324939
1316,"Bell",151.4491,-26.93176,"Princess Alexandra Hospital",160.95182636
1317,"Beerburrum - North",152.957,-26.93545,"Sunshine Coast University Hospital",25.11491185
1318,"Kilcoy",152.5638,-26.94019,"Sunshine Coast University Hospital",59.53987013
1319,"Woodford",152.778,-26.95557,"Sunshine Coast University Hospital",47.96974656
1320,"Beerburrum",152.955,-26.96138,"Sunshine Coast University Hospital",28.21304702
1321,"D'Aguilar",152.7984,-26.98884,"Sunshine Coast University Hospital",45.176408
1322,"Delaneys Creek",152.7971,-27.00308,"Sunshine Coast University Hospital",45.66503073
1323,"Donnybrook",153.0662,-27.00662,"Sunshine Coast University Hospital",31.21227216
1324,"Toorbul",153.0991,-27.03348,"Sunshine Coast University Hospital",37.13356997
1325,"Wamuran",152.8643,-27.04069,"Sunshine Coast University Hospital",37.64045309
1326,"Ningi",153.1051,-27.06703,"Sunshine Coast University Hospital",40.86727266
1327,"Woorim",153.2035,-27.07303,"Sunshine Coast University Hospital",54.24734207
1328,"Sandstone Point",153.1273,-27.08295,"Sunshine Coast University Hospital",44.35734531
1329,"Bongaree",153.1626,-27.08546,"Sunshine Coast University Hospital",51.03222977
1330,"Toogoolawah",152.3753,-27.08821,"Princess Alexandra Hospital",82.62366994
1331,"Beachmere",153.0514,-27.12968,"Sunshine Coast University Hospital",39.55953159
1332,"Surat",149.0666,-27.15384,"Princess Alexandra Hospital",293.75536059
1333,"Dalby",151.261,-27.18328,"Princess Alexandra Hospital",137.77687653
1334,"Dayboro",152.8215,-27.19792,"Princess Alexandra Hospital",49.10065275
1335,"Esk",152.4179,-27.23674,"Princess Alexandra Hospital",69.77455894
1336,"Crows Nest",152.0506,-27.26153,"Princess Alexandra Hospital",112.27559275
1337,"Tara",150.4556,-27.27772,"Princess Alexandra Hospital",197.56860279
1338,"Goombungee",151.8502,-27.30485,"Princess Alexandra Hospital",111.93125337
1339,"Mount Glorious",152.7701,-27.33397,"Princess Alexandra Hospital",48.40423478
1340,"Samford Valley - Highvale",152.8394,-27.36508,"Princess Alexandra Hospital",35.6333058
1341,"Samford",152.8849,-27.37146,"Princess Alexandra Hospital",30.56607673
1342,"Mount Nebo",152.7795,-27.39084,"Princess Alexandra Hospital",43.93633549
1343,"Coominya",152.5023,-27.3916,"Princess Alexandra Hospital",58.81420238
1344,"Amity Point",153.44,-27.39664,"Princess Alexandra Hospital",98.73954695
1345,"Meringandan West",151.8819,-27.41789,"Princess Alexandra Hospital",105.21845738
1346,"Meringandan",151.9132,-27.42327,"Princess Alexandra Hospital",103.2118672
1347,"Point Lookout",153.5377,-27.43022,"Princess Alexandra Hospital",101.57142405
1348,"Oakey",151.7183,-27.43202,"Princess Alexandra Hospital",104.5037502
1349,"Fernvale",152.6594,-27.45012,"Princess Alexandra Hospital",43.88047248
1350,"Lowood",152.5763,-27.46078,"Princess Alexandra Hospital",49.60656927
1351,"Murphys Creek",152.0567,-27.46123,"Princess Alexandra Hospital",80.36699962
1352,"Highfields",151.9481,-27.46253,"Princess Alexandra Hospital",95.97185368
1353,"Brisbane",153.0249,-27.47072,"Princess Alexandra Hospital",8.15721476
1354,"Kingsthorpe",151.8191,-27.47543,"Princess Alexandra Hospital",98.02037522
1355,"Gowrie Junction",151.8928,-27.49125,"Princess Alexandra Hospital",92.73435423
1356,"Lockrose",152.4579,-27.49448,"Princess Alexandra Hospital",56.91201266
1357,"Dunwich",153.4038,-27.49776,"Princess Alexandra Hospital",82.96294679
1358,"Blue Mountain Heights",151.9612,-27.50364,"Princess Alexandra Hospital",90.53431145
1359,"Gowrie Mountain",151.8228,-27.51137,"Princess Alexandra Hospital",94.01662795
