"id","town_name","x","y","centre","minutes"
1207,"Thangool",150.5751,-24.48738,"Princess Alexandra Hospital",376.40835441
1208,"Moura",149.9719,-24.57498,"Princess Alexandra Hospital",405.51872207
1209,"Moore Park",152.2757,-24.71776,"Princess Alexandra Hospital",264.13260585
1210,"Burnett Heads",152.4149,-24.76892,"Princess Alexandra Hospital",253.37672904
1211,"Bargara",152.4607,-24.81453,"Princess Alexandra Hospital",252.52700805
1212,"Gooburrum",152.345,-24.81685,"Princess Alexandra Hospital",252.56461269
1213,"Sloping Hummock",152.4252,-24.8436,"Princess Alexandra Hospital",247.83522222
1214,"Oakwood",152.298,-24.85082,"Princess Alexandra Hospital",249.87034168
1215,"Monto",151.1207,-24.86547,"Princess Alexandra Hospital",326.23223226
1216,"Bundaberg",152.3444,-24.87052,"Princess Alexandra Hospital",245.16229387
1217,"Innes Park",152.4823,-24.88137,"Princess Alexandra Hospital",249.48843881
1218,"Tambo",146.2549,-24.88339,"Princess Alexandra Hospital",559.29948721
1219,"Sharon",152.2587,-24.88377,"Princess Alexandra Hospital",247.24855361
1220,"Elliott Heads",152.4888,-24.9178,"Princess Alexandra Hospital",251.21477385
1221,"Theodore",150.075,-24.94678,"Princess Alexandra Hospital",368.73268855
1222,"South Bingera",152.2194,-24.96842,"Princess Alexandra Hospital",234.54586673
1223,"Gin Gin",151.9557,-24.99157,"Princess Alexandra Hospital",245.00192114
1224,"Woodgate",152.5506,-25.0964,"Princess Alexandra Hospital",229.30522542
1225,"Cordalba",152.2111,-25.15681,"Princess Alexandra Hospital",219.21288079
1226,"Mount Perry",151.6442,-25.18036,"Princess Alexandra Hospital",280.02265948
1227,"Burrum Heads",152.609,-25.18701,"Princess Alexandra Hospital",200.95292015
1228,"Burrum Heads - East",152.6334,-25.21101,"Princess Alexandra Hospital",199.81057036
1229,"Apple Tree Creek",152.2338,-25.22391,"Princess Alexandra Hospital",212.68837744
1230,"Burrum Heads - South",152.5934,-25.23535,"Princess Alexandra Hospital",197.01011564
1231,"Childers",152.2765,-25.23536,"Princess Alexandra Hospital",207.99865239
1232,"Toogoom",152.6898,-25.25614,"Princess Alexandra Hospital",198.37264897
1233,"Pacific Haven",152.5565,-25.26683,"Princess Alexandra Hospital",194.77866729
1234,"Hervey Bay",152.8722,-25.28535,"Princess Alexandra Hospital",207.8428762
1235,"Howard",152.5602,-25.31648,"Princess Alexandra Hospital",190.00304065
1236,"Torbanlea",152.596,-25.34752,"Princess Alexandra Hospital",186.67341626
1237,"Walligan",152.771,-25.35161,"Princess Alexandra Hospital",192.6491475
1238,"Sunshine Acres",152.7889,-25.35801,"Princess Alexandra Hospital",194.55208803
1239,"Booral",152.9037,-25.36202,"Princess Alexandra Hospital",202.71382284
1240,"Eidsvold",151.1221,-25.37064,"Princess Alexandra Hospital",269.44534802
1241,"River Heads",152.9102,-25.39864,"Princess Alexandra Hospital",206.12836416
1242,"Aldershot",152.6613,-25.46311,"Princess Alexandra Hospital",177.52692681
1243,"Biggenden",152.0449,-25.50952,"Princess Alexandra Hospital",195.53392371
1244,"Oakhurst",152.6206,-25.51008,"Princess Alexandra Hospital",179.37928685
1245,"Maryborough",152.6935,-25.52726,"Princess Alexandra Hospital",175.86470872
1246,"Mundubbera",151.2992,-25.59115,"Princess Alexandra Hospital",245.51691217
1247,"Maaroom",152.8722,-25.61156,"Princess Alexandra Hospital",168.93251434
1248,"Gayndah",151.6074,-25.62451,"Princess Alexandra Hospital",218.24577166
1249,"Taroom",149.7974,-25.6412,"Princess Alexandra Hospital",308.00880443
1250,"Boonooroo - Tuan",152.8771,-25.6788,"Princess Alexandra Hospital",166.0385831
1251,"Poona",152.9052,-25.71673,"Princess Alexandra Hospital",163.73083566
1252,"Tiaro",152.584,-25.725,"Princess Alexandra Hospital",156.5179985
1253,"Augathella",146.5842,-25.79596,"Princess Alexandra Hospital",488.48353991
1254,"Injune",148.5651,-25.84311,"Princess Alexandra Hospital",375.55593746
1255,"Bauple Forest",152.636,-25.85212,"Princess Alexandra Hospital",153.96211968
1256,"Rainbow Beach",153.0922,-25.90782,"Princess Alexandra Hospital",163.49877443
1257,"Tin Can Bay",153.0031,-25.91357,"Princess Alexandra Hospital",149.99542777
1258,"Glenwood",152.6324,-25.94735,"Princess Alexandra Hospital",142.9521597
1259,"Cooloola Village",152.982,-25.97598,"Princess Alexandra Hospital",151.39898318
1260,"Curra",152.5881,-26.07081,"Princess Alexandra Hospital",128.57579039
1261,"Kilkivan",152.2399,-26.08621,"Princess Alexandra Hospital",149.3516243
1262,"Wandoan",149.9628,-26.12088,"Princess Alexandra Hospital",270.75040345
1263,"Proston",151.603,-26.16377,"Princess Alexandra Hospital",209.33679801
1264,"Goomeri",152.0647,-26.18048,"Princess Alexandra Hospital",167.293968
1265,"Gympie",152.6706,-26.18893,"Princess Alexandra Hospital",114.37907544
1266,"The Palms",152.5889,-26.19336,"Princess Alexandra Hospital",121.33218415
1267,"Nahrunda",152.6127,-26.20237,"Princess Alexandra Hospital",118.58733998
1268,"Gowrie",146.3207,-26.23114,"Princess Alexandra Hospital",501.11740632
1269,"Pie Creek",152.6277,-26.23769,"Princess Alexandra Hospital",114.64113349
1270,"Murgon",151.9402,-26.24246,"Princess Alexandra Hospital",178.61512818
1271,"Boreen Point",152.9952,-26.28443,"Princess Alexandra Hospital",110.35261377
1272,"Cherbourg",151.9565,-26.28971,"Princess Alexandra Hospital",181.7016288
1273,"Wondai",151.8736,-26.32045,"Princess Alexandra Hospital",184.71148493
1274,"Cooran",152.8222,-26.33805,"Princess Alexandra Hospital",101.88312234
1275,"Amamoor",152.6748,-26.34607,"Princess Alexandra Hospital",106.93703394
1276,"Cooroibah",152.9939,-26.35897,"Princess Alexandra Hospital",104.88378663
1277,"Pomona",152.8533,-26.36256,"Princess Alexandra Hospital",95.72653115
1278,"Forest Acres",152.9413,-26.36638,"Princess Alexandra Hospital",95.62950385
1279,"Black Mountain",152.8819,-26.40467,"Princess Alexandra Hospital",92.40095052
1280,"Charleville",146.2416,-26.40697,"Princess Alexandra Hospital",487.05455387
1281,"Sunshine Beach",153.1058,-26.41021,"Princess Alexandra Hospital",103.22663086
1282,"Cooroy",152.9089,-26.41875,"Princess Alexandra Hospital",88.14061374
1283,"Doonan - Tinbeerwah",153.0119,-26.43781,"Princess Alexandra Hospital",91.82462468
1284,"Weyba Downs",153.0474,-26.45561,"Princess Alexandra Hospital",93.36900824
1285,"Imbil",152.677,-26.46119,"Princess Alexandra Hospital",112.09270844
1286,"Eumundi",152.9513,-26.47643,"Princess Alexandra Hospital",84.66015616
1287,"Mitchell",147.976,-26.48827,"Princess Alexandra Hospital",374.88801161
1288,"Kingaroy",151.8443,-26.53645,"Princess Alexandra Hospital",160.61248637
1289,"Yandina",152.9565,-26.56212,"Princess Alexandra Hospital",79.15825175
1290,"Roma",148.7879,-26.57094,"Princess Alexandra Hospital",318.86736908
1291,"Wallumbilla",149.187,-26.58483,"Princess Alexandra Hospital",292.30060614
1292,"Kenilworth",152.727,-26.59522,"Princess Alexandra Hospital",106.95576923
1293,"Kureelpa",152.8837,-26.60834,"Princess Alexandra Hospital",85.92096216
1294,"Yuleba",149.381,-26.61304,"Princess Alexandra Hospital",279.33658825
1295,"Quilpie",144.2683,-26.61502,"Princess Alexandra Hospital",617.36154224
